 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
| 163475 |          284 |   3.195 (/pb) |             [30-295] |   2.821 (/pb) |
| 163476 |          235 |   2.443 (/pb) |     [1-94], [98-212] |   2.060 (/pb) |
| 163478 |           82 | 808.741 (/nb) |               [1-70] | 464.076 (/nb) |
| 163479 |          185 |   1.805 (/pb) |              [2-175] |   1.684 (/pb) |
| 163480 |          198 |   1.853 (/pb) |    [1-92], [96-188], |   1.706 (/pb) |
|        |              |               |            [190-191] |               |
| 163481 |           88 | 795.666 (/nb) |     [2-72], [74-77], | 651.624 (/nb) |
|        |              |               |              [79-79] |               |
| 163482 |           57 | 507.005 (/nb) |      [1-27], [48-48] | 233.252 (/nb) |
| 163483 |           55 | 377.474 (/nb) |               [2-56] | 374.544 (/nb) |
| 163582 |           65 |   1.021 (/pb) |               [1-22] | 251.847 (/nb) |
| 163583 |          231 |   3.461 (/pb) |     [2-63], [65-92], |   2.851 (/pb) |
|        |              |               | [96-155], [157-173], |               |
|        |              |               |            [175-219] |               |
| 163584 |           84 |   1.209 (/pb) |               [1-56] | 768.191 (/nb) |
| 163585 |           41 | 579.749 (/nb) |               [1-32] | 437.384 (/nb) |
| 163586 |          102 |   1.416 (/pb) |               [1-75] |   1.023 (/pb) |
| 163587 |           84 |   1.139 (/pb) |               [1-52] | 691.925 (/nb) |
| 163588 |          455 |   5.805 (/pb) |      [1-8], [10-446] |   5.606 (/pb) |
| 163589 |          165 |   1.969 (/pb) |     [1-49], [51-160] |   1.878 (/pb) |
| 163596 |           27 | 259.907 (/nb) |               [2-28] | 257.332 (/nb) |
| 163630 |          113 |   1.506 (/pb) |  [76-164], [176-184] |   1.273 (/pb) |
| 163655 |           38 | 608.145 (/nb) |              [15-23] | 132.516 (/nb) |
| 163657 |          152 |   2.360 (/pb) |              [1-140] |   2.127 (/pb) |
| 163658 |           18 | 271.956 (/nb) |                [1-3] |   6.266 (/nb) |
| 163659 |          717 |   9.816 (/pb) |  [1-374], [376-650], |   9.447 (/pb) |
|        |              |               |            [652-705] |               |
| 163660 |           84 |   1.042 (/pb) |               [1-74] | 745.387 (/nb) |
| 163661 |           26 | 318.442 (/nb) |               [1-17] | 113.098 (/nb) |
| 163662 |          175 |   2.098 (/pb) |              [1-154] |   1.819 (/pb) |
| 163663 |          250 |   2.854 (/pb) |   [1-106], [109-246] |   2.660 (/pb) |
| 163664 |          188 |   2.048 (/pb) |   [1-119], [121-178] |   1.872 (/pb) |
| 163668 |          226 |   2.283 (/pb) |    [2-53], [57-136], |   2.048 (/pb) |
|        |              |               |            [140-213] |               |
| 163738 |          282 |   4.183 (/pb) |             [34-311] |   4.073 (/pb) |
| 163757 |           46 | 685.891 (/nb) |               [1-40] | 570.580 (/nb) |
| 163758 |          599 |   8.242 (/pb) |    [1-17], [19-220], |   7.413 (/pb) |
|        |              |               |           [222-224], |               |
|        |              |               |           [236-276], |               |
|        |              |               |           [283-374], |               |
|        |              |               | [376-466], [468-591] |               |
| 163759 |          525 |   6.366 (/pb) |     [1-60], [62-72], |   5.794 (/pb) |
|        |              |               | [74-456], [458-461], |               |
|        |              |               | [463-482], [504-510] |               |
| 163760 |          362 |   4.002 (/pb) |   [1-162], [165-340] |   3.675 (/pb) |
| 163761 |          228 |   2.376 (/pb) |              [1-203] |   2.098 (/pb) |
| 163763 |           92 | 929.920 (/nb) |               [1-79] | 787.512 (/nb) |
| 163765 |          319 |   3.005 (/pb) |              [2-320] |   2.966 (/pb) |
| 163795 |           48 | 914.170 (/nb) |    [10-34], [36-36], | 458.584 (/nb) |
|        |              |               |              [38-43] |               |
| 163796 |          181 |   3.223 (/pb) |              [1-181] |   3.162 (/pb) |
| 163817 |          934 |  16.438 (/pb) | [50-140], [154-205], |  13.080 (/pb) |
|        |              |               |           [216-295], |               |
|        |              |               |           [305-346], |               |
|        |              |               |           [358-457], |               |
|        |              |               | [561-603], [618-966] |               |
