 ==  = 
|    Run | Delivered LS |     Delivered |          Selected LS |      Recorded |
| 172252 |           41 |   1.912 (/pb) |              [32-54] |   1.016 (/pb) |
| 172254 |           51 |   2.327 (/pb) |               [1-35] |   1.460 (/pb) |
| 172255 |           39 |   1.608 (/pb) |               [1-39] |   1.487 (/pb) |
| 172268 |          118 |   5.263 (/pb) |             [56-169] |   4.965 (/pb) |
| 172286 |          176 |   6.934 (/pb) |  [52-177], [184-216] |   6.393 (/pb) |
| 172389 |          431 |  17.208 (/pb) | [34-144], [150-428], |  16.365 (/pb) |
|        |              |               |            [434-460] |               |
| 172399 |          195 |   8.298 (/pb) |             [57-226] |   7.090 (/pb) |
| 172400 |          720 |  25.199 (/pb) |  [1-495], [500-690], |  23.890 (/pb) |
|        |              |               |            [696-704] |               |
| 172401 |          147 |   4.369 (/pb) |       [1-2], [5-147] |   4.151 (/pb) |
| 172411 |          897 |  32.514 (/pb) |             [85-349] |  10.942 (/pb) |
| 172478 |          154 |   3.976 (/pb) |              [1-110] |   2.820 (/pb) |
| 172619 |           97 |   1.939 (/pb) |               [1-77] |   1.494 (/pb) |
| 172620 |          501 |   9.448 (/pb) |              [1-495] |   9.241 (/pb) |
| 172630 |          146 |   6.577 (/pb) |   [36-64], [68-134], |   5.178 (/pb) |
|        |              |               |            [139-160] |               |
| 172635 |          267 |  10.780 (/pb) |     [1-18], [24-267] |  10.304 (/pb) |
| 172778 |           57 |   2.388 (/pb) |              [48-97] |   2.013 (/pb) |
| 172791 |         1624 |  54.550 (/pb) | [65-413], [418-569], |  52.223 (/pb) |
|        |              |               |           [571-715], |               |
|        |              |               |          [721-1295], |               |
|        |              |               |         [1300-1536], |               |
|        |              |               |         [1542-1645], |               |
|        |              |               |          [1649-1658] |               |
| 172798 |           36 | 933.955 (/nb) |               [1-31] | 724.158 (/nb) |
| 172799 |          379 |   9.357 (/pb) |              [1-367] |   8.944 (/pb) |
| 172801 |         1155 |  24.084 (/pb) |  [1-679], [681-750], |  22.831 (/pb) |
|        |              |               |           [753-766], |               |
|        |              |               |           [768-815], |               |
|        |              |               |           [819-837], |               |
|        |              |               |           [839-861], |               |
|        |              |               |           [863-909], |               |
|        |              |               |           [911-1139] |               |
| 172802 |          796 |  13.703 (/pb) |   [1-629], [634-784] |  13.225 (/pb) |
| 172819 |          211 |   9.184 (/pb) |    [57-87], [92-254] |   8.243 (/pb) |
| 172822 |         2341 |  70.187 (/pb) |    [1-75], [77-127], |  68.007 (/pb) |
|        |              |               |           [133-353], |               |
|        |              |               |           [358-662], |               |
|        |              |               |           [667-832], |               |
|        |              |               |          [837-1096], |               |
|        |              |               |         [1102-1112], |               |
|        |              |               |         [1118-2121], |               |
|        |              |               |          [2127-2333] |               |
| 172824 |           54 |   1.086 (/pb) |               [1-54] |   1.044 (/pb) |
| 172847 |           74 |   3.320 (/pb) |  [128-130], [62-127] |   3.001 (/pb) |
| 172865 |          362 |  16.181 (/pb) |  [36-151], [157-382] |  14.752 (/pb) |
| 172868 |         1971 |  59.791 (/pb) |    [1-29], [34-708], |  58.472 (/pb) |
|        |              |               |           [714-909], |               |
|        |              |               |          [912-1829], |               |
|        |              |               |          [1835-1970] |               |
| 172949 |         1262 |  46.707 (/pb) | [55-127], [133-159], |  44.048 (/pb) |
|        |              |               |           [161-263], |               |
|        |              |               |           [269-274], |               |
|        |              |               |           [276-892], |               |
|        |              |               |           [898-928], |               |
|        |              |               |           [933-1287] |               |
| 172951 |           70 |   2.079 (/pb) |               [1-52] |   1.466 (/pb) |
| 172952 |         1562 |  37.794 (/pb) |  [1-195], [197-670], |  36.993 (/pb) |
|        |              |               |           [675-797], |               |
|        |              |               |          [799-1164], |               |
|        |              |               |          [1169-1562] |               |
| 172992 |          951 |  37.632 (/pb) |           [505-511], |  14.112 (/pb) |
|        |              |               |           [516-713], |               |
|        |              |               | [752-874], [880-946] |               |
| 172999 |          293 |   9.044 (/pb) |     [1-71], [77-293] |   8.719 (/pb) |
| 173198 |          780 |  30.000 (/pb) | [49-322], [324-356], |  28.820 (/pb) |
|        |              |               |           [362-485], |               |
|        |              |               | [488-768], [770-823] |               |
| 173236 |          206 |   9.886 (/pb) |            [128-231] |   4.778 (/pb) |
| 173240 |          144 |   6.391 (/pb) |              [1-124] |   5.312 (/pb) |
| 173241 |          765 |  29.156 (/pb) |    [1-85], [92-381], |  27.963 (/pb) |
|        |              |               |            [388-759] |               |
| 173243 |           97 |   3.215 (/pb) |               [1-89] |   2.877 (/pb) |
| 173380 |          184 |   7.935 (/pb) | [75-204], [209-209], |   5.501 (/pb) |
|        |              |               |            [217-217] |               |
| 173381 |          293 |  11.239 (/pb) |  [1-134], [139-221], |  10.436 (/pb) |
|        |              |               | [226-226], [231-293] |               |
| 173389 |          644 |  26.422 (/pb) | [18-106], [111-169], |  23.756 (/pb) |
|        |              |               |           [174-224], |               |
|        |              |               | [230-262], [276-652] |               |
| 173406 |          260 |  11.667 (/pb) |             [37-285] |  11.160 (/pb) |
| 173430 |          115 |   5.356 (/pb) |             [72-163] |   4.170 (/pb) |
| 173438 |           48 |   2.596 (/pb) |              [32-56] |   1.024 (/pb) |
| 173439 |          756 |  34.360 (/pb) |  [1-274], [280-313], |  32.416 (/pb) |
|        |              |               | [319-467], [472-756] |               |
| 173657 |           48 |   2.191 (/pb) |              [59-93] |   1.304 (/pb) |
| 173658 |          118 |   5.101 (/pb) |              [1-110] |   4.156 (/pb) |
| 173659 |          327 |  12.816 (/pb) |     [1-61], [66-317] |  12.018 (/pb) |
| 173660 |          377 |  13.004 (/pb) |    [1-81], [86-164], |  11.850 (/pb) |
|        |              |               | [169-357], [359-362] |               |
| 173661 |          139 |   4.406 (/pb) |     [1-56], [62-63], |   3.576 (/pb) |
|        |              |               |             [65-125] |               |
| 173663 |          132 |   3.969 (/pb) |     [1-71], [73-120] |   3.461 (/pb) |
| 173664 |           60 |   1.745 (/pb) |               [5-16] | 345.694 (/nb) |
| 173692 |         2719 |  83.479 (/pb) | [50-143], [149-468], |  80.425 (/pb) |
|        |              |               |          [474-1123], |               |
|        |              |               |         [1129-1162], |               |
|        |              |               |         [1168-1321], |               |
|        |              |               |         [1326-1361], |               |
|        |              |               |         [1366-1383], |               |
|        |              |               |         [1389-1431], |               |
|        |              |               |         [1436-1818], |               |
|        |              |               |         [1824-2361], |               |
|        |              |               |         [2366-2710], |               |
|        |              |               |          [2715-2754] |               |
| 175860 |           88 |   1.604 (/pb) |               [1-82] |   1.421 (/pb) |
| 175863 |           87 |   1.498 (/pb) |               [1-75] |   1.230 (/pb) |
| 175865 |           70 |   1.156 (/pb) |               [1-58] | 903.898 (/nb) |
| 175866 |          530 |   7.791 (/pb) |   [1-353], [356-511] |   7.389 (/pb) |
| 175872 |           45 |   2.083 (/pb) |              [60-90] |   1.324 (/pb) |
| 175873 |           37 |   1.673 (/pb) |               [1-32] |   1.284 (/pb) |
| 175874 |          118 |   5.057 (/pb) |     [1-33], [36-108] |   4.286 (/pb) |
| 175877 |           73 |   2.759 (/pb) |               [1-69] |   2.466 (/pb) |
| 175881 |          170 |   6.001 (/pb) |              [1-160] |   5.435 (/pb) |
| 175886 |          304 |   9.704 (/pb) |              [1-280] |   8.669 (/pb) |
| 175887 |          149 |   4.397 (/pb) |     [1-18], [21-138] |   3.863 (/pb) |
| 175888 |          439 |  11.787 (/pb) |              [1-424] |  11.260 (/pb) |
| 175906 |          143 |   8.191 (/pb) |             [79-191] |   5.742 (/pb) |
| 175910 |           12 | 442.923 (/nb) |               [1-12] | 280.428 (/nb) |
| 175921 |          370 |  20.625 (/pb) |             [64-428] |  19.784 (/pb) |
| 175973 |          275 |  16.931 (/pb) | [126-183], [186-268] |   8.272 (/pb) |
| 175974 |          130 |   7.235 (/pb) |              [1-124] |   6.695 (/pb) |
| 175975 |          396 |  19.715 (/pb) |    [1-90], [93-101], |  18.672 (/pb) |
|        |              |               |            [104-390] |               |
| 175976 |          103 |   4.397 (/pb) |     [1-33], [36-51], |   4.049 (/pb) |
|        |              |               |             [54-102] |               |
| 175990 |          114 |   6.767 (/pb) |             [56-164] |   6.367 (/pb) |
| 176023 |           91 |   5.999 (/pb) |             [44-129] |   5.531 (/pb) |
| 176161 |           36 |   2.414 (/pb) |      [6-7], [13-14], | 723.988 (/nb) |
|        |              |               |              [16-23] |               |
| 176163 |          102 |   6.546 (/pb) |        [1-4], [7-63] |   3.616 (/pb) |
| 176165 |           94 |   5.835 (/pb) |               [1-29] |   1.580 (/pb) |
| 176167 |           13 | 769.250 (/nb) |                [1-5] | 112.960 (/nb) |
| 176169 |          145 |   7.533 (/pb) |              [1-140] |   7.237 (/pb) |
| 176201 |          626 |  39.269 (/pb) |    [52-52], [54-55], |  36.157 (/pb) |
|        |              |               |    [58-58], [61-63], |               |
|        |              |               | [67-263], [265-570], |               |
|        |              |               |            [573-656] |               |
| 176202 |          270 |  14.038 (/pb) |   [1-179], [182-264] |  13.303 (/pb) |
| 176206 |          107 |   5.130 (/pb) |              [1-101] |   4.358 (/pb) |
| 176207 |          230 |  10.251 (/pb) |              [1-230] |  10.043 (/pb) |
| 176286 |          449 |  28.715 (/pb) | [55-224], [226-247], |  26.760 (/pb) |
|        |              |               | [250-252], [254-486] |               |
| 176289 |           81 |   3.865 (/pb) |      [1-43], [46-75] |   3.586 (/pb) |
| 176304 |          554 |  36.077 (/pb) |    [69-69], [73-73], |  28.361 (/pb) |
|        |              |               |   [77-77], [79-132], |               |
|        |              |               | [135-422], [425-516] |               |
| 176308 |          307 |  16.523 (/pb) |    [1-45], [48-130], |  15.238 (/pb) |
|        |              |               |            [133-293] |               |
| 176309 |         1696 |  64.951 (/pb) |    [1-84], [87-122], |  61.497 (/pb) |
|        |              |               |           [125-354], |               |
|        |              |               |           [356-467], |               |
|        |              |               |           [470-512], |               |
|        |              |               |           [514-627], |               |
|        |              |               |          [630-1177], |               |
|        |              |               |          [1180-1641] |               |
| 176467 |          176 |  10.320 (/pb) |     [1-85], [88-164] |   9.196 (/pb) |
| 176468 |          217 |  11.886 (/pb) |   [1-124], [126-210] |  11.078 (/pb) |
| 176469 |          204 |  10.337 (/pb) |                [1-5] | 123.027 (/nb) |
| 176545 |           31 |   2.122 (/pb) |                [5-5] |  16.578 (/nb) |
| 176547 |          194 |  12.702 (/pb) |  [1-151], [154-172], |  11.339 (/pb) |
|        |              |               |            [175-184] |               |
| 176548 |         1027 |  52.893 (/pb) |    [1-72], [75-387], |  50.862 (/pb) |
|        |              |               |           [390-487], |               |
|        |              |               |           [489-494], |               |
|        |              |               |           [496-575], |               |
|        |              |               |           [577-1024] |               |
| 176697 |          303 |  21.116 (/pb) |    [50-66], [68-344] |  19.803 (/pb) |
| 176701 |          153 |   9.210 (/pb) |              [1-145] |   8.421 (/pb) |
| 176702 |          948 |  46.323 (/pb) |       [1-4], [6-42], |  38.891 (/pb) |
|        |              |               | [45-103], [105-284], |               |
|        |              |               |           [287-291], |               |
|        |              |               |           [294-351], |               |
|        |              |               |           [353-599], |               |
|        |              |               |           [622-684], |               |
|        |              |               |           [686-723], |               |
|        |              |               |           [726-794], |               |
|        |              |               | [796-799], [801-839] |               |
| 176765 |           62 |   3.523 (/pb) |  [128-141], [84-127] |   2.741 (/pb) |
| 176771 |          104 |   7.265 (/pb) |    [57-60], [62-156] |   5.786 (/pb) |
| 176795 |           81 |   5.942 (/pb) |             [38-105] |   4.366 (/pb) |
| 176796 |          114 |   7.732 (/pb) |     [1-24], [31-100] |   6.006 (/pb) |
| 176797 |          274 |  16.433 (/pb) |     [1-26], [33-89], |  13.111 (/pb) |
|        |              |               | [95-131], [136-196], |               |
|        |              |               | [203-237], [244-252] |               |
| 176799 |          246 |  12.723 (/pb) |     [1-27], [30-35], |  11.338 (/pb) |
|        |              |               |             [38-238] |               |
| 176801 |          303 |  13.342 (/pb) |    [1-92], [95-173], |  10.543 (/pb) |
|        |              |               | [176-177], [179-249] |               |
| 176805 |          113 |   4.675 (/pb) |               [1-97] |   3.844 (/pb) |
| 176807 |          461 |  17.323 (/pb) |    [1-74], [76-255], |  16.944 (/pb) |
|        |              |               |            [257-461] |               |
| 176841 |          219 |  12.520 (/pb) |           [105-157], |   5.519 (/pb) |
|        |              |               |           [159-182], |               |
|        |              |               | [184-235], [238-241] |               |
| 176844 |          119 |   6.147 (/pb) |              [1-110] |   5.074 (/pb) |
| 176848 |           41 |   2.042 (/pb) |               [1-25] |   1.074 (/pb) |
| 176850 |          309 |  14.301 (/pb) |     [1-29], [32-301] |  13.426 (/pb) |
| 176860 |          474 |  19.005 (/pb) |    [1-78], [81-271], |  17.436 (/pb) |
|        |              |               | [273-335], [338-450] |               |
| 176868 |          495 |  16.979 (/pb) |              [1-495] |  16.706 (/pb) |
| 176885 |          184 |  11.829 (/pb) |  [67-152], [164-235] |   9.859 (/pb) |
| 176886 |          722 |  37.373 (/pb) |  [1-335], [337-416], |  33.564 (/pb) |
|        |              |               |           [418-425], |               |
|        |              |               |           [427-429], |               |
|        |              |               |           [431-499], |               |
|        |              |               |           [502-503], |               |
|        |              |               |           [505-505], |               |
|        |              |               |           [507-507], |               |
|        |              |               | [509-514], [516-678] |               |
| 176889 |          102 |   4.079 (/pb) |     [1-81], [83-102] |   3.832 (/pb) |
| 176928 |          124 |   8.277 (/pb) |    [1-99], [102-121] |   7.450 (/pb) |
| 176929 |          334 |  19.549 (/pb) |    [1-59], [62-198], |  17.843 (/pb) |
|        |              |               | [201-218], [221-320] |               |
| 176933 |          439 |  21.335 (/pb) |    [1-71], [73-358], |  20.047 (/pb) |
|        |              |               | [361-415], [418-438] |               |
| 176959 |           34 |   1.109 (/pb) |              [17-39] | 791.225 (/nb) |
| 176982 |           11 | 364.126 (/nb) |               [1-10] | 217.432 (/nb) |
| 177053 |          692 |  37.629 (/pb) |    [54-72], [74-87], |  35.442 (/pb) |
|        |              |               | [90-208], [211-217], |               |
|        |              |               |           [219-258], |               |
|        |              |               |           [260-380], |               |
|        |              |               |           [385-427], |               |
|        |              |               |           [429-570], |               |
|        |              |               | [573-709], [712-740] |               |
| 177074 |          724 |  38.381 (/pb) | [52-120], [123-468], |  36.717 (/pb) |
|        |              |               |           [470-554], |               |
|        |              |               | [556-735], [737-769] |               |
| 177088 |           44 |   2.525 (/pb) |     [57-83], [85-95] |   2.095 (/pb) |
| 177095 |          162 |   9.277 (/pb) |  [49-111], [113-204] |   8.420 (/pb) |
| 177096 |          190 |   9.750 (/pb) |     [1-14], [17-190] |   9.025 (/pb) |
| 177131 |           98 |   6.466 (/pb) |             [49-139] |   6.054 (/pb) |
| 177138 |           80 |   5.400 (/pb) |    [55-57], [59-114] |   3.767 (/pb) |
| 177139 |          635 |  36.332 (/pb) |  [1-206], [208-249], |  34.257 (/pb) |
|        |              |               |           [252-335], |               |
|        |              |               | [337-375], [378-627] |               |
| 177140 |          572 |  26.189 (/pb) |  [1-106], [108-492], |  24.530 (/pb) |
|        |              |               |            [495-557] |               |
| 177141 |          628 |  24.073 (/pb) |    [1-57], [59-154], |  23.405 (/pb) |
|        |              |               |           [157-288], |               |
|        |              |               | [290-492], [494-628] |               |
| 177183 |          222 |  15.298 (/pb) |    [4-74], [76-199], |  14.154 (/pb) |
|        |              |               |            [202-219] |               |
| 177184 |           41 |   2.282 (/pb) |      [1-12], [15-41] |   1.946 (/pb) |
| 177201 |          747 |  43.497 (/pb) |    [60-65], [68-73], |  41.500 (/pb) |
|        |              |               | [75-212], [215-334], |               |
|        |              |               |           [337-516], |               |
|        |              |               |           [519-603], |               |
|        |              |               | [606-621], [623-799] |               |
| 177222 |          299 |  18.982 (/pb) |             [50-342] |  18.056 (/pb) |
| 177317 |           64 |   4.480 (/pb) |               [1-60] |   3.868 (/pb) |
| 177318 |          413 |  25.670 (/pb) |               [1-81] |   5.210 (/pb) |
| 177319 |          374 |  18.954 (/pb) |    [1-54], [56-224], |  18.162 (/pb) |
|        |              |               |           [227-286], |               |
|        |              |               | [289-351], [354-368] |               |
| 177449 |          478 |  31.724 (/pb) |   [56-80], [83-234], |  24.643 (/pb) |
|        |              |               | [236-392], [394-434] |               |
| 177452 |          169 |   9.066 (/pb) |   [1-156], [158-169] |   8.742 (/pb) |
| 177718 |         1605 |  83.056 (/pb) |   [53-62], [64-482], |  79.528 (/pb) |
|        |              |               |           [485-656], |               |
|        |              |               |           [659-697], |               |
|        |              |               |           [699-701], |               |
|        |              |               |           [703-703], |               |
|        |              |               |          [706-1572], |               |
|        |              |               |          [1575-1635] |               |
| 177719 |          711 |  24.032 (/pb) |  [1-194], [197-694], |  23.192 (/pb) |
|        |              |               |            [696-704] |               |
| 177730 |         2269 | 108.876 (/pb) |   [49-88], [91-234], | 105.532 (/pb) |
|        |              |               |           [237-448], |               |
|        |              |               |           [451-701], |               |
|        |              |               |           [704-773], |               |
|        |              |               |           [776-931], |               |
|        |              |               |          [933-1470], |               |
|        |              |               |         [1473-1763], |               |
|        |              |               |         [1766-1956], |               |
|        |              |               |         [1959-2266], |               |
|        |              |               |          [2268-2303] |               |
| 177776 |           41 |   2.756 (/pb) |             [73-108] |   2.321 (/pb) |
| 177782 |          172 |  12.049 (/pb) |    [72-75], [78-226] |  10.118 (/pb) |
| 177783 |          387 |  23.262 (/pb) |    [1-94], [97-176], |  20.923 (/pb) |
|        |              |               | [178-234], [237-363] |               |
| 177788 |           88 |   4.353 (/pb) |               [1-46] |   2.136 (/pb) |
| 177789 |          101 |   4.809 (/pb) |     [1-38], [41-82], |   3.523 (/pb) |
|        |              |               |              [84-86] |               |
| 177790 |          722 |  29.758 (/pb) |   [1-189], [191-715] |  28.968 (/pb) |
| 177791 |          219 |   7.732 (/pb) |    [1-27], [30-109], |   5.795 (/pb) |
|        |              |               |            [137-198] |               |
| 177875 |          532 |  32.893 (/pb) | [71-214], [217-367], |  31.073 (/pb) |
|        |              |               | [370-448], [451-589] |               |
| 177878 |          849 |  38.275 (/pb) |  [1-138], [143-492], |  37.342 (/pb) |
|        |              |               | [495-837], [839-849] |               |
| 178098 |          710 |  44.296 (/pb) | [16-120], [122-142], |  41.285 (/pb) |
|        |              |               |           [144-152], |               |
|        |              |               |           [155-179], |               |
|        |              |               |           [181-249], |               |
|        |              |               |           [251-549], |               |
|        |              |               |           [551-576], |               |
|        |              |               |           [579-619], |               |
|        |              |               | [622-677], [679-707] |               |
| 178099 |          222 |  11.260 (/pb) |              [1-192] |   9.370 (/pb) |
| 178100 |         1631 |  61.757 (/pb) |    [1-40], [43-163], |  59.956 (/pb) |
|        |              |               |           [166-511], |               |
|        |              |               |           [514-529], |               |
|        |              |               |          [532-1114], |               |
|        |              |               |          [1117-1613] |               |
| 178101 |           81 |   2.389 (/pb) |      [1-61], [64-75] |   2.051 (/pb) |
| 178102 |           19 | 526.808 (/nb) |               [1-13] | 318.174 (/nb) |
| 178110 |          428 |  29.890 (/pb) | [51-133], [135-197], |  27.479 (/pb) |
|        |              |               |           [199-246], |               |
|        |              |               | [252-396], [401-468] |               |
| 178116 |          626 |  34.088 (/pb) |   [1-120], [122-615] |  33.118 (/pb) |
| 178151 |           80 |   5.592 (/pb) |             [47-122] |   5.172 (/pb) |
| 178160 |          507 |  33.991 (/pb) |  [51-456], [458-534] |  31.733 (/pb) |
| 178162 |          175 |   9.619 (/pb) |       [1-4], [7-55], |   8.935 (/pb) |
|        |              |               |  [58-146], [149-175] |               |
| 178365 |         1040 |  63.129 (/pb) |   [43-96], [98-238], |  59.413 (/pb) |
|        |              |               |           [241-380], |               |
|        |              |               |           [382-558], |               |
|        |              |               |           [560-660], |               |
|        |              |               |          [663-1050], |               |
|        |              |               |          [1053-1059] |               |
| 178367 |          737 |  30.354 (/pb) | [22-135], [138-161], |  28.113 (/pb) |
|        |              |               |           [163-264], |               |
|        |              |               |           [266-316], |               |
|        |              |               |           [318-366], |               |
|        |              |               |           [369-392], |               |
|        |              |               |           [395-548], |               |
|        |              |               | [560-711], [713-737] |               |
| 178380 |          195 |   6.452 (/pb) |     [1-81], [84-195] |   6.296 (/pb) |
| 178420 |           30 |   2.287 (/pb) |     [53-61], [63-70] | 476.190 (/nb) |
| 178421 |         1218 |  68.688 (/pb) |      [1-3], [47-77], |  60.956 (/pb) |
|        |              |               | [79-135], [137-149], |               |
|        |              |               |           [151-265], |               |
|        |              |               |           [268-293], |               |
|        |              |               |           [295-320], |               |
|        |              |               |           [323-512], |               |
|        |              |               |           [514-586], |               |
|        |              |               |           [588-742], |               |
|        |              |               |           [744-756], |               |
|        |              |               |           [759-915], |               |
|        |              |               |           [917-1207] |               |
| 178424 |          851 |  31.542 (/pb) |  [1-536], [538-594], |  30.585 (/pb) |
|        |              |               |            [597-837] |               |
| 178479 |          951 |  58.688 (/pb) |   [61-64], [66-129], |  55.960 (/pb) |
|        |              |               |           [132-245], |               |
|        |              |               |           [247-354], |               |
|        |              |               |           [356-576], |               |
|        |              |               |           [578-985], |               |
|        |              |               |           [988-1004] |               |
| 178703 |          156 |  11.444 (/pb) |             [43-183] |   9.283 (/pb) |
| 178708 |          381 |  24.215 (/pb) |              [1-374] |  22.661 (/pb) |
| 178712 |          417 |  22.349 (/pb) |    [1-42], [44-197], |  20.323 (/pb) |
|        |              |               | [199-333], [336-394] |               |
| 178724 |          286 |  13.524 (/pb) |              [3-261] |  12.001 (/pb) |
| 178731 |          223 |   9.694 (/pb) |              [1-208] |   8.793 (/pb) |
| 178738 |          260 |   9.921 (/pb) |   [1-143], [145-252] |   9.684 (/pb) |
| 178786 |          181 |  13.077 (/pb) |   [53-67], [70-117], |  11.263 (/pb) |
|        |              |               |           [120-120], |               |
|        |              |               |           [123-135], |               |
|        |              |               |           [138-202], |               |
|        |              |               | [205-218], [220-227] |               |
| 178803 |          508 |  28.676 (/pb) | [49-115], [117-316], |  27.038 (/pb) |
|        |              |               |            [319-457] |               |
| 178840 |          571 |  39.414 (/pb) | [48-119], [122-336], |  36.308 (/pb) |
|        |              |               |           [339-341], |               |
|        |              |               | [343-566], [569-597] |               |
| 178854 |          148 |   8.733 (/pb) |              [1-134] |   7.607 (/pb) |
| 178866 |          434 |  23.064 (/pb) |              [1-424] |  21.950 (/pb) |
| 178871 |         1280 |  52.046 (/pb) |     [1-64], [67-71], |  50.700 (/pb) |
|        |              |               | [73-156], [159-380], |               |
|        |              |               |           [382-466], |               |
|        |              |               |          [468-1181], |               |
|        |              |               |          [1184-1273] |               |
| 178920 |          245 |  18.258 (/pb) |             [53-291] |  17.247 (/pb) |
| 178970 |          543 |  36.802 (/pb) |  [52-242], [244-581] |  34.973 (/pb) |
| 178985 |           81 |   4.430 (/pb) |               [1-81] |   4.190 (/pb) |
| 179411 |          112 |   7.213 (/pb) |              [1-112] |   6.852 (/pb) |
| 179434 |          767 |  48.770 (/pb) | [21-289], [291-388], |  44.188 (/pb) |
|        |              |               | [390-607], [609-748] |               |
| 179452 |         1247 |  56.154 (/pb) |  [1-108], [110-121], |  53.626 (/pb) |
|        |              |               |           [124-158], |               |
|        |              |               |           [160-276], |               |
|        |              |               |           [278-289], |               |
|        |              |               |           [292-515], |               |
|        |              |               |           [518-830], |               |
|        |              |               |           [833-849], |               |
|        |              |               |          [851-1116], |               |
|        |              |               |          [1118-1233] |               |
| 179476 |          208 |   7.452 (/pb) |     [1-16], [19-207] |   6.951 (/pb) |
| 179497 |          372 |  26.074 (/pb) | [86-116], [118-131], |  20.609 (/pb) |
|        |              |               |           [134-149], |               |
|        |              |               |           [151-274], |               |
|        |              |               |           [277-280], |               |
|        |              |               | [283-402], [405-433] |               |
| 179547 |          280 |  20.997 (/pb) | [75-156], [158-162], |  18.183 (/pb) |
|        |              |               | [164-262], [265-338] |               |
| 179558 |          142 |   9.691 (/pb) |     [1-52], [55-64], |   8.397 (/pb) |
|        |              |               |    [66-73], [75-134] |               |
| 179563 |         1186 |  64.283 (/pb) |  [1-440], [443-631], |  61.987 (/pb) |
|        |              |               |           [633-704], |               |
|        |              |               |           [707-722], |               |
|        |              |               |           [724-912], |               |
|        |              |               |           [915-968], |               |
|        |              |               |          [970-1085], |               |
|        |              |               |         [1087-1138], |               |
|        |              |               |          [1141-1186] |               |
| 179889 |          491 |  34.025 (/pb) |   [51-68], [70-139], |  32.032 (/pb) |
|        |              |               |           [142-448], |               |
|        |              |               |           [450-463], |               |
|        |              |               | [466-497], [500-534] |               |
| 179959 |           24 |   1.789 (/pb) |              [69-86] |   1.242 (/pb) |
| 179977 |          123 |   8.201 (/pb) |   [44-51], [53-114], |   6.575 (/pb) |
|        |              |               |            [116-136] |               |
| 180072 |           65 |   4.695 (/pb) |             [49-102] |   3.491 (/pb) |
| 180076 |          364 |  24.096 (/pb) |   [1-182], [184-356] |  22.204 (/pb) |
| 180093 |          353 |  19.168 (/pb) |  [1-260], [263-292], |  18.050 (/pb) |
|        |              |               |            [295-346] |               |
| 180241 |          367 |  26.455 (/pb) |    [55-74], [78-78], |  24.347 (/pb) |
|        |              |               | [80-252], [255-328], |               |
|        |              |               | [331-351], [353-416] |               |
| 180250 |          547 |  39.914 (/pb) |       [3-3], [6-82], |  37.215 (/pb) |
|        |              |               | [84-259], [262-426], |               |
|        |              |               |            [429-539] |               |
| 180252 |           86 |   5.475 (/pb) |     [1-40], [42-49], |   4.522 (/pb) |
|        |              |               |              [52-79] |               |

 ==  =  Total : 
| Delivered LS | Delivered(/fb) | Selected LS | Recorded(/fb) |
---------------------------------------------------------------
|       169029 |          5.222 |      154781 |         4.670 |

